,count,mean,std,min,25%,50%,75%,max
Unnamed: 0,616.0,307.5,177.96816194664333,0.0,153.75,307.5,461.25,615.0
sensor_index,616.0,72891.12012987013,60211.10269027666,53.0,16260.0,49683.0,122074.5,208783.0
last_modified,616.0,1619313680.3636363,45827854.6998298,1465680292.0,1575398166.75,1626983060.5,1647642626.5,1706563164.0
date_created,616.0,1586837662.8701298,55733703.985869355,1454548891.0,1537884466.25,1583598373.0,1629497260.25,1703862440.0
last_seen,616.0,1706636130.965909,42181.51320932079,1706164406.0,1706641152.25,1706641214.0,1706641267.0,1706641396.0
private,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_owner,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
icon,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
location_type,616.0,0.25811688311688313,0.4379542530670727,0.0,0.0,0.0,1.0,1.0
led_brightness,616.0,35.357142857142854,7.9143205154855245,5.0,35.0,35.0,35.0,100.0
rssi,616.0,-61.88961038961039,13.069451348359806,-96.0,-71.0,-62.0,-54.0,-20.0
uptime,616.0,29546.907467532466,22317.963927214874,5.0,9630.0,25765.5,50430.25,70751.0
pa_latency,615.0,524.6634146341463,941.3855833255612,181.0,246.0,292.0,471.0,11223.0
memory,616.0,14990.064935064935,3143.899474334329,5408.0,15670.0,15860.0,16104.0,37200.0
position_rating,616.0,4.4058441558441555,1.5536680757144512,0.0,5.0,5.0,5.0,5.0
latitude,616.0,40.71749973051948,0.3270529865758615,40.02223,40.538081250000005,40.692910999999995,40.782427999999996,41.912376
longitude,616.0,-111.82268138474026,0.17187670191079743,-112.68572,-111.921275,-111.851505,-111.7425725,-111.17958
channel_state,616.0,2.581168831168831,0.814444354896052,1.0,3.0,3.0,3.0,3.0
channel_flags,616.0,0.16883116883116883,0.5043575297258405,0.0,0.0,0.0,0.0,2.0
channel_flags_manual,616.0,0.05357142857142857,0.27712854830933087,0.0,0.0,0.0,0.0,2.0
channel_flags_auto,616.0,0.14935064935064934,0.48766865376964347,0.0,0.0,0.0,0.0,2.0
confidence,616.0,73.89448051948052,36.73345302461797,0.0,30.0,100.0,100.0,100.0
analog_input,616.0,0.04691558441558442,0.2371563910967442,0.0,0.01,0.02,0.03,4.87
pm1.0,616.0,20.943831168831167,185.48488000333376,0.0,0.8,9.95,17.9,3325.8
pm1.0_a,616.0,47.544480519480516,348.38245496700233,0.0,0.9,9.8,18.0,3328.3
pm2.5,616.0,26.747564935064936,185.4806480223982,0.0,1.7,15.4,27.9,3325.8
pm2.5_a,616.0,53.32012987012987,347.93692936169,0.0,1.9,15.55,28.35,3328.3
pm2.5_alt,616.0,9.725487012987012,9.325101176799887,0.0,1.4,8.5,15.525,81.0
pm2.5_alt_a,616.0,9.632305194805195,8.696361927553232,0.0,1.5,8.3,15.7,52.9
pm10.0,616.0,29.523863636363636,185.57288927663686,0.0,1.975,17.6,31.875,3325.8
pm10.0_a,616.0,56.05259740259741,347.7744331941128,0.0,2.375,17.6,32.0,3328.3
scattering_coefficient,548.0,33.2771897810219,41.49001784910812,0.0,5.4,27.049999999999997,48.95,585.2
scattering_coefficient_a,548.0,32.286861313868606,32.5175465332765,0.0,5.975,26.75,48.6,262.9
deciviews,548.0,12.81587591240876,7.961127206478793,0.0,5.0,14.4,19.2,42.7
deciviews_a,548.0,12.914233576642335,7.846888200996856,0.0,5.4,14.350000000000001,19.2,34.8
visual_range,548.0,146.1233576642336,107.46148973086659,5.5,57.6,94.6,236.325,389.3
visual_range_a,548.0,143.56697080291974,106.4542322731668,12.0,57.0,92.75,227.6,389.3
0.3_um_count,616.0,2052.6996753246754,2656.874792096523,0.0,341.0,1413.0,3047.75,39016.0
0.3_um_count_a,616.0,1990.8295454545455,2103.65581403093,0.0,347.5,1414.5,3103.25,17524.0
0.5_um_count,616.0,589.6168831168832,657.4010242168217,0.0,101.5,520.0,899.0,9446.0
0.5_um_count_a,616.0,575.3782467532468,509.6547705575246,0.0,106.75,513.5,899.75,2962.0
1.0_um_count,616.0,100.59577922077922,95.83544797123407,0.0,13.0,82.0,170.0,605.0
1.0_um_count_a,616.0,101.27272727272727,96.19621024107452,0.0,14.0,80.5,167.0,605.0
2.5_um_count,616.0,9.217532467532468,11.666563343283514,0.0,0.0,4.0,15.0,81.0
2.5_um_count_a,616.0,9.311688311688311,11.614271837515279,0.0,0.0,4.0,15.0,68.0
5.0_um_count,616.0,2.8944805194805197,10.80530893557032,0.0,0.0,0.0,3.0,134.0
5.0_um_count_a,616.0,2.949675324675325,10.690885102958427,0.0,0.0,1.0,3.0,131.0
