,datetime_pulled,sensor_index,latitude,longitude,pm10.0,scattering_coefficient,deciviews,visual_range,humidity,temperature,pressure,altitude,voc
0,2024-02-29 20:22:06.151755,77,40.750816,-111.82529,18.9,163.2,30.2,18.9,,,,,
1,2024-02-29 20:22:06.151755,443,41.224422,-111.968376,6.5,73.6,22.8,39.7,18.0,69.0,859.14,,
2,2024-02-29 20:22:06.151755,525,40.78387,-111.87014,0.3,3.9,3.7,271.4,26.0,77.0,,4891.0,
3,2024-02-29 20:22:06.151755,984,40.595387,-111.807755,1.1,10.9,7.3,208.4,20.0,62.0,846.31,,
4,2024-02-29 20:22:06.151755,992,40.72763,-111.824425,11.0,63.4,21.5,45.6,19.0,63.0,852.19,,
5,2024-02-29 20:22:06.151755,3238,40.664246,-111.84923,1.5,11.2,7.9,187.3,18.0,62.0,860.55,4331.0,
6,2024-02-29 20:22:06.151755,3388,40.73344,-111.82151,0.2,1.3,1.4,337.6,16.0,65.0,849.1,4715.0,
7,2024-02-29 20:22:06.151755,4553,40.835648,-111.887764,0.6,2.5,2.6,303.5,18.0,60.0,836.12,5116.0,
8,2024-02-29 20:22:06.151755,5174,41.172134,-111.92389,0.8,3.8,3.7,268.1,22.0,61.0,833.12,5188.0,
9,2024-02-29 20:22:06.151755,5372,40.74412,-111.86478,1.2,4.1,4.0,260.7,18.0,64.0,861.18,4327.0,
10,2024-02-29 20:22:06.151755,5408,40.9873,-111.9286,1.1,4.3,4.2,257.0,19.0,65.0,863.7,4237.0,
11,2024-02-29 20:22:06.151755,5454,41.191982,-111.94198,1.4,4.4,4.2,256.9,22.0,62.0,846.01,4739.0,
12,2024-02-29 20:22:06.151755,5460,40.72751,-111.861435,1.4,7.5,6.2,215.7,15.0,64.0,860.79,4351.0,
13,2024-02-29 20:22:06.151755,5486,40.55721,-111.820854,0.6,2.1,2.2,312.6,21.0,60.0,843.57,4879.0,
14,2024-02-29 20:22:06.151755,5700,41.321125,-112.03294,2.4,10.7,7.9,183.7,27.0,67.0,863.13,4247.0,
15,2024-02-29 20:22:06.151755,5742,40.734,-111.846,1.6,4.2,4.1,259.3,17.0,62.0,855.79,4517.0,
16,2024-02-29 20:22:06.151755,5808,40.646835,-112.02559,0.0,,,,18.0,60.0,845.15,4823.0,
17,2024-02-29 20:22:06.151755,6018,41.124454,-111.924706,1.3,3.2,3.3,281.4,29.0,73.0,695.39,4582.0,
18,2024-02-29 20:22:06.151755,6050,40.646465,-111.95876,1.8,5.1,4.8,242.5,23.0,60.0,854.99,4465.0,
19,2024-02-29 20:22:06.151755,6054,40.67708,-112.03324,1.3,7.8,6.3,215.7,17.0,63.0,855.31,4540.0,
20,2024-02-29 20:22:06.151755,6080,41.09514,-112.047745,2.3,43.6,18.3,62.5,24.0,62.0,859.68,4331.0,
21,2024-02-29 20:22:06.151755,6274,40.639458,-111.84767,1.4,11.6,7.9,193.7,17.0,63.0,858.67,4404.0,
22,2024-02-29 20:22:06.151755,6276,40.691936,-111.99147,1.8,4.1,4.0,261.5,14.0,65.0,863.3,4296.0,
23,2024-02-29 20:22:06.151755,6288,40.701218,-111.96849,0.9,4.3,4.1,258.2,,,,4258.0,
24,2024-02-29 20:22:06.151755,6298,41.093666,-111.92332,1.4,3.6,3.6,273.5,16.0,75.0,,4782.0,
