,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change,year
0,49,011,0001,82103,1,40.886389,-111.882222,WGS84,Arsenic PM10 STP,7,24 HOUR,,2003-01-09,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,17.16,17.16,0,,201,R&P Model 2000 PM10 Quartz - ICP/MS,UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,65W 300S BOUNTIFUL UTAH,Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2013-06-11,2003
1,49,011,0001,82103,1,40.886389,-111.882222,WGS84,Arsenic PM10 STP,7,24 HOUR,,2003-01-15,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,5.93,5.93,0,,201,R&P Model 2000 PM10 Quartz - ICP/MS,UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,65W 300S BOUNTIFUL UTAH,Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2013-06-11,2003
2,49,011,0001,82103,1,40.886389,-111.882222,WGS84,Arsenic PM10 STP,7,24 HOUR,,2003-01-21,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,16.18,16.18,0,,201,R&P Model 2000 PM10 Quartz - ICP/MS,UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,65W 300S BOUNTIFUL UTAH,Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2013-06-11,2003
3,49,011,0001,82103,1,40.886389,-111.882222,WGS84,Arsenic PM10 STP,7,24 HOUR,,2003-01-27,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,8.38,8.38,0,,201,R&P Model 2000 PM10 Quartz - ICP/MS,UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,65W 300S BOUNTIFUL UTAH,Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2013-06-11,2003
4,49,011,0001,82103,1,40.886389,-111.882222,WGS84,Arsenic PM10 STP,7,24 HOUR,,2003-02-02,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.0,0.0,0,,201,R&P Model 2000 PM10 Quartz - ICP/MS,UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,65W 300S BOUNTIFUL UTAH,Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2013-06-11,2003
5,49,011,0001,82103,1,40.886389,-111.882222,WGS84,Arsenic PM10 STP,7,24 HOUR,,2003-02-08,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.0,0.0,0,,201,R&P Model 2000 PM10 Quartz - ICP/MS,UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,65W 300S BOUNTIFUL UTAH,Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2013-06-11,2003
6,49,011,0001,82103,1,40.886389,-111.882222,WGS84,Arsenic PM10 STP,7,24 HOUR,,2003-02-20,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,5.1,5.1,0,,201,R&P Model 2000 PM10 Quartz - ICP/MS,UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,65W 300S BOUNTIFUL UTAH,Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2013-06-11,2003
7,49,011,0001,82103,1,40.886389,-111.882222,WGS84,Arsenic PM10 STP,7,24 HOUR,,2003-02-26,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.0,0.0,0,,201,R&P Model 2000 PM10 Quartz - ICP/MS,UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,65W 300S BOUNTIFUL UTAH,Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2013-06-11,2003
8,49,011,0001,82103,1,40.886389,-111.882222,WGS84,Arsenic PM10 STP,7,24 HOUR,,2003-03-04,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.0,0.0,0,,201,R&P Model 2000 PM10 Quartz - ICP/MS,UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,65W 300S BOUNTIFUL UTAH,Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2013-06-11,2003
9,49,011,0001,82103,1,40.886389,-111.882222,WGS84,Arsenic PM10 STP,7,24 HOUR,,2003-03-10,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,7.18,7.18,0,,201,R&P Model 2000 PM10 Quartz - ICP/MS,UTM COORDINATES = PROBE LOCATION ON ROOF OF TRAILER,65W 300S BOUNTIFUL UTAH,Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2013-06-11,2003
