,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change,year
0,49,011,0004,82142,3,40.902967,-111.884467,WGS84,Mercury PM10 STP,7,24 HOUR,,2014-01-05,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.04,0.04,0,,202,R&P Model 2000 PM10 Teflon - ICP/MS,Bountiful Viewmont,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2015-06-02,2014
1,49,011,0004,82142,3,40.902967,-111.884467,WGS84,Mercury PM10 STP,7,24 HOUR,,2014-01-11,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.03,0.03,0,,202,R&P Model 2000 PM10 Teflon - ICP/MS,Bountiful Viewmont,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2015-06-02,2014
2,49,011,0004,82142,3,40.902967,-111.884467,WGS84,Mercury PM10 STP,7,24 HOUR,,2014-01-17,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.06,0.06,0,,202,R&P Model 2000 PM10 Teflon - ICP/MS,Bountiful Viewmont,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2015-06-02,2014
3,49,011,0004,82142,3,40.902967,-111.884467,WGS84,Mercury PM10 STP,7,24 HOUR,,2014-01-23,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.05,0.05,0,,202,R&P Model 2000 PM10 Teflon - ICP/MS,Bountiful Viewmont,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2015-06-02,2014
4,49,011,0004,82142,3,40.902967,-111.884467,WGS84,Mercury PM10 STP,7,24 HOUR,,2014-01-29,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.02,0.02,0,,202,R&P Model 2000 PM10 Teflon - ICP/MS,Bountiful Viewmont,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2015-06-02,2014
5,49,011,0004,82142,3,40.902967,-111.884467,WGS84,Mercury PM10 STP,7,24 HOUR,,2014-02-04,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.04,0.04,0,,202,R&P Model 2000 PM10 Teflon - ICP/MS,Bountiful Viewmont,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2015-06-02,2014
6,49,011,0004,82142,3,40.902967,-111.884467,WGS84,Mercury PM10 STP,7,24 HOUR,,2014-02-16,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.01,0.01,0,,202,R&P Model 2000 PM10 Teflon - ICP/MS,Bountiful Viewmont,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2015-06-02,2014
7,49,011,0004,82142,3,40.902967,-111.884467,WGS84,Mercury PM10 STP,7,24 HOUR,,2014-02-22,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.02,0.02,0,,202,R&P Model 2000 PM10 Teflon - ICP/MS,Bountiful Viewmont,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2015-06-02,2014
8,49,011,0004,82142,3,40.902967,-111.884467,WGS84,Mercury PM10 STP,7,24 HOUR,,2014-02-28,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.01,0.01,0,,202,R&P Model 2000 PM10 Teflon - ICP/MS,Bountiful Viewmont,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2015-06-02,2014
9,49,011,0004,82142,3,40.902967,-111.884467,WGS84,Mercury PM10 STP,7,24 HOUR,,2014-03-06,Nanograms/cubic meter (25 C),No Events,1,100.0,Y,0.01,0.01,0,,202,R&P Model 2000 PM10 Teflon - ICP/MS,Bountiful Viewmont,"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",Utah,Davis,Bountiful,36260,"Ogden-Clearfield, UT",2015-06-02,2014
