patient_count,related_diagnosis,claim_week,claim_year,PRVDR_NUM,PRVDR_STATE_CD
12,A_AB_COPD_DY,1,2018,460006,46
12,A_AB_COPD_DY,1,2020,460001,46
36,A_AB_COPD_DY,1,2022,460009,46
53,A_AB_COPD_DY,1,2021,460009,46
16,A_AB_COPD_DY,1,2021,460047,46
12,A_AB_COPD_DY,1,2022,460003,46
17,A_AB_COPD_DY,1,2017,461307,46
12,A_AB_COPD_DY,1,2018,460026,46
54,A_AB_COPD_DY,1,2022,460021,46
24,A_AB_COPD_DY,1,2022,460047,46
36,A_AB_COPD_DY,1,2019,460021,46
52,A_AB_COPD_DY,1,2018,460009,46
12,A_AB_COPD_DY,1,2018,460015,46
18,A_AB_COPD_DY,1,2020,460047,46
12,A_AB_COPD_DY,1,2019,460047,46
18,A_AB_COPD_DY,1,2021,460010,46
17,A_AB_COPD_DY,1,2017,460013,46
12,A_AB_COPD_DY,1,2019,460019,46
12,Emesis,1,2017,460015,46
17,Emesis,1,2018,460023,46
12,Emesis,1,2017,460030,46
12,A_AB_COPD_DY,1,2018,461835,46
15,A_AB_COPD_DY,1,2017,460021,46
12,A_AB_COPD_DY,1,2022,460001,46
11,A_AB_COPD_DY,1,2022,460057,46
18,A_AB_COPD_DY,1,2022,460004,46
24,A_AB_COPD_DY,1,2017,460009,46
18,A_AB_COPD_DY,1,2021,460021,46
18,A_AB_COPD_DY,1,2021,460004,46
14,A_AB_COPD_DY,1,2019,460010,46
36,Emesis,1,2021,460009,46
18,A_AB_COPD_DY,1,2022,460019,46
12,A_AB_COPD_DY,1,2020,460009,46
18,A_AB_COPD_DY,1,2022,460010,46
18,A_AB_COPD_DY,1,2020,460010,46
28,A_AB_COPD_DY,1,2019,460009,46
12,A_AB_COPD_DY,1,2017,460047,46
18,A_AB_COPD_DY,1,2018,460047,46
12,A_AB_COPD_DY,1,2019,460004,46
12,A_AB_COPD_DY,1,2021,460011,46
11,A_AB_COPD_DY,1,2022,460005,46
21,A_AB_COPD_DY,2,2019,460021,46
39,A_AB_COPD_DY,2,2017,460009,46
24,A_AB_COPD_DY,2,2018,460004,46
18,Emesis,2,2017,460009,46
29,A_AB_COPD_DY,2,2022,460047,46
18,A_AB_COPD_DY,2,2017,460001,46
12,A_AB_COPD_DY,2,2020,460010,46
16,A_AB_COPD_DY,2,2017,460047,46
11,A_AB_COPD_DY,2,2020,460006,46
12,A_AB_COPD_DY,2,2018,460001,46
27,A_AB_COPD_DY,2,2021,460021,46
49,A_AB_COPD_DY,2,2022,460009,46
30,A_AB_COPD_DY,2,2020,460047,46
24,A_AB_COPD_DY,2,2022,460004,46
12,A_AB_COPD_DY,2,2018,460049,46
12,A_AB_COPD_DY,2,2022,460010,46
17,A_AB_COPD_DY,2,2021,460004,46
18,Emesis,2,2019,460010,46
12,A_AB_COPD_DY,2,2017,460021,46
18,Emesis,2,2020,460009,46
18,A_AB_COPD_DY,2,2020,460001,46
18,A_AB_COPD_DY,2,2019,460004,46
16,A_AB_COPD_DY,2,2017,460023,46
18,A_AB_COPD_DY,2,2018,460047,46
24,Emesis,2,2020,460021,46
13,A_AB_COPD_DY,2,2021,460011,46
33,A_AB_COPD_DY,2,2018,460021,46
40,A_AB_COPD_DY,2,2019,460009,46
12,A_AB_COPD_DY,2,2019,460026,46
11,A_AB_COPD_DY,2,2017,460005,46
12,A_AB_COPD_DY,2,2020,460023,46
12,A_AB_COPD_DY,2,2017,460051,46
12,A_AB_COPD_DY,2,2018,460010,46
12,Emesis,2,2018,460009,46
18,A_AB_COPD_DY,2,2022,460021,46
