,sensor_id,unix_timestamp,pm2.5_atm,pm10.0_atm,date
0,77,1459468800.0,1.992,2.165,2016-04-01
1,77,1473379200.0,1.198,1.311,2016-09-09
2,77,1470700800.0,4.069,4.479,2016-08-09
3,77,1476662400.0,1.739,1.962,2016-10-17
4,77,1472774400.0,1.163,1.41,2016-09-02
5,77,1460592000.0,2.638,2.95,2016-04-14
6,77,1465689600.0,11.182,12.297,2016-06-12
7,77,1468972800.0,1.621,1.902,2016-07-20
8,77,1474588800.0,1.354,1.528,2016-09-23
9,77,1460160000.0,1.075,1.249,2016-04-09
10,77,1471824000.0,8.76,9.445,2016-08-22
11,77,1459987200.0,2.856,3.242,2016-04-07
12,77,1481673600.0,22.806,26.532,2016-12-14
13,77,1464912000.0,2.642,3.026,2016-06-03
14,77,1464566400.0,2.756,3.144,2016-05-30
15,77,1472601600.0,7.091,7.692,2016-08-31
16,77,1462320000.0,1.148,1.258,2016-05-04
17,77,1468454400.0,0.859,0.996,2016-07-14
18,77,1469750400.0,8.313,8.872,2016-07-29
19,77,1469577600.0,4.447,4.942,2016-07-27
20,77,1464998400.0,1.032,1.217,2016-06-04
21,77,1465603200.0,4.29,4.882,2016-06-11
22,77,1470960000.0,1.458,1.705,2016-08-12
23,77,1467763200.0,3.252,3.607,2016-07-06
24,77,1476057600.0,1.589,1.871,2016-10-10
25,77,1467244800.0,3.867,4.74,2016-06-30
26,77,1461974400.0,1.639,1.82,2016-04-30
27,77,1476748800.0,0.902,1.013,2016-10-18
28,77,1460073600.0,1.115,1.334,2016-04-08
29,77,1464220800.0,2.903,3.291,2016-05-26
30,77,1461715200.0,3.036,3.37,2016-04-27
31,77,1481241600.0,8.614,9.613,2016-12-09
32,77,1481328000.0,2.882,3.31,2016-12-10
33,77,1463875200.0,2.263,2.716,2016-05-22
34,77,1476921600.0,2.447,2.675,2016-10-20
35,77,1474329600.0,3.056,3.428,2016-09-20
36,77,1473206400.0,4.996,5.521,2016-09-07
37,77,1467504000.0,3.186,3.454,2016-07-03
38,77,1467331200.0,4.825,5.238,2016-07-01
39,77,1470009600.0,13.371,14.349,2016-08-01
40,77,1476835200.0,1.275,1.409,2016-10-19
41,77,1473552000.0,1.818,2.076,2016-09-11
42,77,1471478400.0,4.263,4.655,2016-08-18
43,77,1462752000.0,2.719,3.013,2016-05-09
44,77,1482278400.0,43.948,54.58,2016-12-21
45,77,1467849600.0,2.487,2.767,2016-07-07
46,77,1471737600.0,28.736,33.856,2016-08-21
47,77,1477180800.0,2.425,2.754,2016-10-23
48,77,1472169600.0,8.457,9.162,2016-08-26
49,77,1478476800.0,8.65,9.697,2016-11-07
50,77,1482192000.0,21.006,23.576,2016-12-20
51,77,1464739200.0,3.311,3.721,2016-06-01
52,77,1469664000.0,6.824,7.341,2016-07-28
53,77,1475020800.0,8.836,9.475,2016-09-28
54,77,1475193600.0,0.923,1.028,2016-09-30
55,77,1468713600.0,1.94,2.223,2016-07-17
56,77,1462665600.0,3.053,3.383,2016-05-08
57,77,1467417600.0,4.571,4.898,2016-07-02
58,77,1464048000.0,1.881,2.206,2016-05-24
59,77,1472428800.0,4.832,5.242,2016-08-29
60,77,1460851200.0,0.722,0.766,2016-04-17
61,77,1482105600.0,6.499,7.428,2016-12-19
62,77,1462147200.0,0.715,0.709,2016-05-02
63,77,1461110400.0,2.205,2.557,2016-04-20
64,77,1466899200.0,0.637,0.803,2016-06-26
65,77,1460246400.0,0.595,0.626,2016-04-10
66,77,1481500800.0,1.766,2.044,2016-12-12
67,77,1471651200.0,14.029,15.308,2016-08-20
68,77,1467072000.0,7.488,7.989,2016-06-28
69,77,1459036800.0,2.374,2.638,2016-03-27
70,77,1477699200.0,2.221,2.488,2016-10-29
71,77,1466726400.0,0.499,0.675,2016-06-24
72,77,1460419200.0,0.899,0.998,2016-04-12
73,77,1468195200.0,0.654,0.79,2016-07-11
74,77,1462492800.0,1.583,1.867,2016-05-06
75,77,1458518400.0,2.06,2.429,2016-03-21
76,77,1461888000.0,1.256,1.368,2016-04-29
77,77,1473465600.0,3.067,3.397,2016-09-10
78,77,1460678400.0,1.472,1.665,2016-04-15
79,77,1467676800.0,7.199,7.962,2016-07-05
80,77,1470268800.0,19.947,22.682,2016-08-04
81,77,1472860800.0,7.472,8.325,2016-09-03
82,77,1482796800.0,10.774,12.117,2016-12-27
83,77,1464134400.0,3.12,3.542,2016-05-25
84,77,1475107200.0,3.356,3.633,2016-09-29
85,77,1459382400.0,8.715,9.795,2016-03-31
86,77,1475366400.0,0.937,1.067,2016-10-02
87,77,1476576000.0,2.777,4.053,2016-10-16
88,77,1461283200.0,1.38,1.69,2016-04-22
89,77,1473120000.0,5.926,6.546,2016-09-06
90,77,1482624000.0,3.896,4.409,2016-12-25
91,77,1482019200.0,6.131,7.081,2016-12-18
92,77,1482883200.0,43.657,52.88,2016-12-28
93,77,1469232000.0,3.863,4.219,2016-07-23
94,77,1478822400.0,16.948,19.577,2016-11-11
95,77,1470614400.0,3.148,3.494,2016-08-08
96,77,1477872000.0,0.393,0.502,2016-10-31
97,77,1481760000.0,17.059,20.21,2016-12-15
98,77,1464393600.0,2.303,2.596,2016-05-28
99,77,1482537600.0,2.831,3.261,2016-12-24
100,77,1462838400.0,1.865,2.086,2016-05-10
101,77,1461628800.0,5.28,5.833,2016-04-26
102,77,1458604800.0,2.123,2.642,2016-03-22
103,77,1470873600.0,2.185,2.608,2016-08-11
104,77,1472342400.0,7.103,7.694,2016-08-28
105,77,1471996800.0,6.962,7.532,2016-08-24
106,77,1468627200.0,2.07,2.299,2016-07-16
107,77,1458864000.0,1.206,1.366,2016-03-25
108,77,1474156800.0,3.145,3.41,2016-09-18
109,77,1472083200.0,16.655,18.086,2016-08-25
110,77,1482451200.0,23.115,26.916,2016-12-23
111,77,1464825600.0,1.772,2.113,2016-06-02
112,77,1474934400.0,7.843,8.532,2016-09-27
113,77,1474416000.0,7.312,7.945,2016-09-21
114,77,1472256000.0,8.89,9.57,2016-08-27
115,77,1475712000.0,1.294,1.421,2016-10-06
116,77,1464307200.0,1.332,1.528,2016-05-27
117,77,1482364800.0,29.375,35.229,2016-12-22
118,77,1475884800.0,1.564,1.777,2016-10-08
119,77,1471219200.0,5.783,6.21,2016-08-15
120,77,1473724800.0,4.522,5.265,2016-09-13
121,77,1458950400.0,2.856,3.234,2016-03-26
122,77,1481414400.0,1.869,2.147,2016-12-11
123,77,1460332800.0,0.792,0.877,2016-04-11
124,77,1469491200.0,9.451,10.176,2016-07-26
125,77,1465257600.0,3.48,3.859,2016-06-07
126,77,1467936000.0,2.367,2.718,2016-07-08
127,77,1473984000.0,10.21,10.94,2016-09-16
128,77,1477094400.0,6.093,6.774,2016-10-22
129,77,1463616000.0,1.002,1.09,2016-05-19
130,77,1465776000.0,5.784,6.325,2016-06-13
131,77,1465948800.0,1.645,1.97,2016-06-15
132,77,1462060800.0,0.994,1.065,2016-05-01
133,77,1481846400.0,0.657,0.718,2016-12-16
134,77,1478390400.0,7.81,8.772,2016-11-06
135,77,1463356800.0,2.838,3.099,2016-05-16
136,77,1465344000.0,3.48,3.788,2016-06-08
137,77,1465430400.0,4.883,5.265,2016-06-09
138,77,1474070400.0,7.988,8.573,2016-09-17
139,77,1469318400.0,4.541,4.924,2016-07-24
140,77,1459555200.0,4.416,4.985,2016-04-02
141,77,1460505600.0,1.328,1.49,2016-04-13
142,77,1476489600.0,4.176,5.913,2016-10-15
143,77,1461801600.0,2.706,2.967,2016-04-28
144,77,1482969600.0,19.815,24.273,2016-12-29
145,77,1483142400.0,59.684,80.837,2016-12-31
146,77,1478304000.0,11.52,13.003,2016-11-05
147,77,1466035200.0,3.657,4.313,2016-06-16
148,77,1462924800.0,1.059,1.146,2016-05-11
149,77,1466553600.0,1.45,1.653,2016-06-22
150,77,1469923200.0,5.988,6.512,2016-07-31
151,77,1461196800.0,1.331,1.54,2016-04-21
152,77,1474502400.0,2.682,3.041,2016-09-22
153,77,1471910400.0,9.81,10.656,2016-08-23
154,77,1473292800.0,3.02,3.373,2016-09-08
155,77,1477353600.0,1.973,2.205,2016-10-25
156,77,1474848000.0,4.574,4.992,2016-09-26
157,77,1466208000.0,0.788,0.996,2016-06-18
158,77,1474675200.0,2.497,2.708,2016-09-24
159,77,1478908800.0,6.73,7.684,2016-11-12
160,77,1478131200.0,7.647,8.359,2016-11-03
161,77,1461369600.0,1.307,1.801,2016-04-23
162,77,1465516800.0,2.771,3.192,2016-06-10
163,77,1475971200.0,2.8,3.157,2016-10-09
164,77,1478563200.0,9.203,10.213,2016-11-08
165,77,1471392000.0,2.5,2.783,2016-08-17
166,77,1483056000.0,47.408,59.864,2016-12-30
167,77,1472947200.0,4.922,5.531,2016-09-04
168,77,1481155200.0,7.335,8.177,2016-12-08
169,77,1477958400.0,3.061,3.372,2016-11-01
170,77,1464652800.0,3.606,4.083,2016-05-31
171,77,1470182400.0,8.069,8.699,2016-08-03
172,77,1462233600.0,1.986,2.185,2016-05-03
173,77,1465862400.0,1.012,1.204,2016-06-14
174,77,1473811200.0,3.904,4.306,2016-09-14
175,77,1459900800.0,1.054,1.237,2016-04-06
176,77,1474243200.0,2.087,2.309,2016-09-19
177,77,1458086400.0,0.901,0.96,2016-03-16
178,77,1476230400.0,2.902,3.267,2016-10-12
179,77,1477440000.0,3.536,3.905,2016-10-26
180,77,1481932800.0,3.486,3.984,2016-12-17
181,77,1478044800.0,3.508,3.799,2016-11-02
182,77,1474761600.0,3.32,3.598,2016-09-25
183,77,1463529600.0,2.393,2.569,2016-05-18
184,77,1464480000.0,3.392,3.821,2016-05-29
185,77,1475280000.0,1.002,1.125,2016-10-01
186,77,1468800000.0,1.215,1.517,2016-07-18
187,77,1459728000.0,1.359,1.493,2016-04-04
188,77,1482710400.0,5.953,6.787,2016-12-26
189,77,1462579200.0,3.664,4.108,2016-05-07
190,77,1471564800.0,15.597,16.792,2016-08-19
191,77,1466640000.0,3.806,4.138,2016-06-23
192,77,1463097600.0,0.887,0.979,2016-05-13
193,77,1458777600.0,1.183,1.339,2016-03-24
194,77,1477785600.0,1.207,1.39,2016-10-30
195,77,1465171200.0,2.657,2.974,2016-06-06
196,77,1468368000.0,0.618,0.598,2016-07-13
197,77,1471046400.0,9.779,10.518,2016-08-13
198,77,1478649600.0,7.184,8.009,2016-11-09
199,77,1461542400.0,1.273,1.443,2016-04-25
200,77,1472688000.0,3.116,3.472,2016-09-01
201,77,1477008000.0,6.39,7.089,2016-10-21
202,77,1470528000.0,2.892,3.225,2016-08-07
203,77,1459123200.0,4.606,5.235,2016-03-28
204,77,1460937600.0,0.795,0.843,2016-04-18
205,77,1481587200.0,2.392,2.691,2016-12-13
206,77,1467158400.0,4.635,5.042,2016-06-29
207,77,1466121600.0,1.248,1.53,2016-06-17
208,77,1466380800.0,1.867,2.142,2016-06-20
209,77,1468540800.0,1.72,1.97,2016-07-15
210,77,1458691200.0,1.475,1.603,2016-03-23
211,77,1472515200.0,6.243,6.705,2016-08-30
212,77,1458259200.0,1.758,1.988,2016-03-18
213,77,1476316800.0,3.446,3.849,2016-10-13
214,77,1463011200.0,0.927,1.036,2016-05-12
215,77,1477526400.0,3.123,3.441,2016-10-27
216,77,1460764800.0,0.727,0.751,2016-04-16
217,77,1463961600.0,2.087,2.385,2016-05-23
218,77,1473897600.0,6.789,7.35,2016-09-15
219,77,1475539200.0,1.04,1.205,2016-10-04
220,77,1476403200.0,1.261,1.503,2016-10-14
221,77,1468108800.0,0.491,0.643,2016-07-10
222,77,1468886400.0,1.626,1.955,2016-07-19
223,77,1469059200.0,1.282,1.512,2016-07-21
224,77,1473638400.0,2.089,2.439,2016-09-12
225,77,1471305600.0,1.973,2.225,2016-08-16
226,77,1475452800.0,1.038,1.283,2016-10-03
227,77,1465084800.0,1.503,1.685,2016-06-05
228,77,1463270400.0,2.689,3.015,2016-05-15
229,77,1477267200.0,2.246,2.539,2016-10-24
230,77,1468281600.0,0.655,0.772,2016-07-12
231,77,1463788800.0,1.788,2.213,2016-05-21
232,77,1469404800.0,5.9,6.409,2016-07-25
233,77,1470096000.0,14.229,15.431,2016-08-02
234,77,1459296000.0,2.237,2.463,2016-03-30
235,77,1459209600.0,7.931,9.478,2016-03-29
236,77,1458172800.0,1.463,1.718,2016-03-17
237,77,1470355200.0,13.53,14.457,2016-08-05
238,77,1463702400.0,1.989,2.258,2016-05-20
239,77,1461456000.0,0.784,0.847,2016-04-24
240,77,1470441600.0,8.763,9.474,2016-08-06
241,77,1476144000.0,1.086,1.308,2016-10-11
242,77,1478736000.0,10.949,12.633,2016-11-10
243,77,1471132800.0,17.753,19.132,2016-08-14
244,77,1463184000.0,0.94,1.073,2016-05-14
245,77,1461024000.0,1.854,2.077,2016-04-19
246,77,1459814400.0,1.27,1.437,2016-04-05
247,77,1478217600.0,20.554,23.497,2016-11-04
248,77,1475798400.0,0.771,0.871,2016-10-07
249,77,1458432000.0,2.771,3.127,2016-03-20
250,77,1475625600.0,0.854,0.984,2016-10-05
251,77,1468022400.0,0.998,1.204,2016-07-09
252,77,1458345600.0,2.504,2.808,2016-03-19
253,77,1477612800.0,4.104,4.518,2016-10-28
254,77,1469836800.0,11.22,11.954,2016-07-30
255,77,1466985600.0,1.955,2.165,2016-06-27
256,77,1463443200.0,1.115,1.186,2016-05-17
257,77,1473033600.0,4.68,5.212,2016-09-05
258,77,1462406400.0,1.266,1.472,2016-05-05
259,77,1466812800.0,1.617,1.738,2016-06-25
260,77,1459641600.0,2.456,2.824,2016-04-03
261,77,1466294400.0,1.702,2.018,2016-06-19
262,77,1470787200.0,6.86,7.57,2016-08-10
263,77,1467590400.0,3.024,3.524,2016-07-04
264,77,1469145600.0,1.066,1.29,2016-07-22
265,77,1466467200.0,2.445,2.726,2016-06-21
266,443,1481155200.0,1.9124999999999999,2.5865,2016-12-08
267,443,1480723200.0,8.337,10.119,2016-12-03
268,443,1481673600.0,9.747,11.536000000000001,2016-12-14
