,datetime_pulled,sensor_index,latitude,longitude,pm10.0,scattering_coefficient,deciviews,visual_range,humidity,temperature,pressure,altitude,voc
0,2024-03-05 08:28:40.202408,77,40.750816,-111.82529,26.6,187.3,31.6,16.6,,,,,
1,2024-03-05 08:28:40.202408,443,41.224422,-111.968376,12.6,98.3,25.5,30.5,33.0,44.0,865.92,,
2,2024-03-05 08:28:40.202408,525,40.78387,-111.87014,0.0,1.2,1.3,345.6,28.0,73.0,,4891.0,
3,2024-03-05 08:28:40.202408,984,40.595387,-111.807755,0.7,14.2,8.0,212.3,42.0,38.0,851.78,,
4,2024-03-05 08:28:40.202408,992,40.72763,-111.824425,18.4,73.3,22.8,40.0,41.0,42.0,858.07,,
5,2024-03-05 08:28:40.202408,3238,40.664246,-111.84923,1.3,16.9,10.7,139.0,66.0,36.0,866.98,4331.0,
6,2024-03-05 08:28:40.202408,3388,40.73344,-111.82151,0.6,2.9,3.0,290.0,36.0,43.0,854.56,4715.0,
7,2024-03-05 08:28:40.202408,4553,40.835648,-111.887764,0.0,0.9,1.0,354.4,33.0,41.0,841.05,5116.0,
8,2024-03-05 08:28:40.202408,5174,41.172134,-111.92389,0.1,2.0,2.2,313.6,33.0,40.0,838.15,5188.0,
9,2024-03-05 08:28:40.202408,5372,40.74412,-111.86478,0.1,1.7,1.9,323.5,37.0,42.0,867.68,4327.0,
10,2024-03-05 08:28:40.202408,5408,40.9873,-111.9286,1.7,5.6,5.1,234.5,36.0,43.0,870.17,4237.0,
11,2024-03-05 08:28:40.202408,5454,41.191982,-111.94198,0.0,1.4,1.6,333.9,31.0,43.0,851.75,4739.0,
12,2024-03-05 08:28:40.202408,5460,40.72751,-111.861435,1.3,8.1,6.3,216.5,32.0,44.0,867.11,4351.0,
13,2024-03-05 08:28:40.202408,5486,40.55721,-111.820854,0.0,0.8,0.9,356.3,45.0,35.0,848.57,4879.0,
14,2024-03-05 08:28:40.202408,5700,41.321125,-112.03294,0.6,6.4,5.4,233.7,48.0,40.0,869.83,4247.0,
15,2024-03-05 08:28:40.202408,5742,40.734,-111.846,0.7,3.3,3.3,279.7,36.0,42.0,862.04,4517.0,
16,2024-03-05 08:28:40.202408,5808,40.646835,-112.02559,0.0,,,,50.0,37.0,850.65,4823.0,
17,2024-03-05 08:28:40.202408,6018,41.124454,-111.924706,0.2,1.7,1.8,324.5,29.0,73.0,695.39,4582.0,
18,2024-03-05 08:28:40.202408,6050,40.646465,-111.95876,3.4,7.5,6.4,205.5,53.0,40.0,862.95,4465.0,
19,2024-03-05 08:28:40.202408,6054,40.67708,-112.03324,6.0,15.7,10.5,138.9,44.0,39.0,861.02,4540.0,
20,2024-03-05 08:28:40.202408,6080,41.09514,-112.047745,14.1,63.2,21.5,45.5,49.0,38.0,866.26,4331.0,
21,2024-03-05 08:28:40.202408,6274,40.639458,-111.84767,0.5,4.9,4.6,247.9,40.0,41.0,864.9,4404.0,
22,2024-03-05 08:28:40.202408,6276,40.691936,-111.99147,3.4,7.0,6.1,213.4,44.0,40.0,869.71,4296.0,
23,2024-03-05 08:28:40.202408,6288,40.701218,-111.96849,3.7,11.4,8.6,164.8,,,,4258.0,
24,2024-03-05 08:28:40.202408,6298,41.093666,-111.92332,0.2,1.7,1.9,324.2,27.0,54.0,,4782.0,
25,2024-03-05 08:28:40.202408,6314,40.68405,-111.990685,4.0,8.5,7.0,192.8,48.0,40.0,865.14,4340.0,
26,2024-03-05 08:28:40.202408,6322,40.68183,-112.04764,5.1,8.4,7.0,194.2,58.0,38.0,860.89,4498.0,
27,2024-03-05 08:28:40.202408,6332,41.053085,-111.9725,0.9,4.0,3.9,263.3,48.0,40.0,866.69,4310.0,
28,2024-03-05 08:28:40.202408,6346,40.67029,-112.00136,0.0,,,,53.0,38.0,861.69,4473.0,
29,2024-03-05 08:28:40.202408,6348,41.101795,-111.93963,2.8,6.3,5.6,222.2,71.0,69.0,735.01,4801.0,
30,2024-03-05 08:28:40.202408,6352,40.656517,-111.8456,0.9,3.5,3.5,274.4,46.0,40.0,865.59,4357.0,
31,2024-03-05 08:28:40.202408,6356,40.77445,-111.88332,2.2,5.2,4.9,239.4,91.0,38.0,860.27,4520.0,
32,2024-03-05 08:28:40.202408,6360,40.766937,-111.86745,1.3,4.8,4.5,247.9,40.0,44.0,705.1,4405.0,
33,2024-03-05 08:28:40.202408,6434,40.696266,-111.87738,4.8,8.5,7.1,192.6,43.0,40.0,868.2,4270.0,
34,2024-03-05 08:28:40.202408,6602,40.6854,-111.83166,0.1,2.0,2.2,314.3,36.0,43.0,860.58,4536.0,
35,2024-03-05 08:28:40.202408,6604,41.1824,-111.93324,0.6,3.1,3.1,285.0,38.0,36.0,840.71,5115.0,
36,2024-03-05 08:28:40.202408,6622,40.74361,-111.87632,0.4,3.0,3.1,286.7,36.0,41.0,870.66,4256.0,
37,2024-03-05 08:28:40.202408,7152,41.193577,-112.10366,0.5,3.7,3.7,270.2,39.0,41.0,867.89,4241.0,
38,2024-03-05 08:28:40.202408,7206,40.68566,-111.82788,0.2,1.8,2.0,319.5,41.0,41.0,859.41,4563.0,
39,2024-03-05 08:28:40.202408,7466,41.24572,-111.93738,0.0,1.0,1.1,349.7,42.0,39.0,859.53,4565.0,
40,2024-03-05 08:28:40.202408,7578,41.195732,-111.936554,0.0,1.1,1.2,346.2,36.0,39.0,850.28,4792.0,
41,2024-03-05 08:28:40.202408,7858,41.19531,-111.94745,0.2,1.6,1.8,326.0,37.0,38.0,859.58,4592.0,
42,2024-03-05 08:28:40.202408,7860,41.192738,-111.94309,0.1,1.5,1.6,331.5,33.0,39.0,854.65,4686.0,
43,2024-03-05 08:28:40.202408,8968,41.320457,-111.83722,0.0,,,,18.0,51.0,843.65,5075.0,
44,2024-03-05 08:28:40.202408,9066,41.30161,-111.862366,0.0,1.0,1.1,349.7,42.0,28.0,829.53,5575.0,
45,2024-03-05 08:28:40.202408,9566,40.633564,-111.80854,0.0,0.8,1.0,354.3,38.0,50.0,858.69,4622.0,
46,2024-03-05 08:28:40.202408,10794,40.693317,-111.93009,7.7,14.6,10.1,141.9,41.0,42.0,871.14,4253.0,
47,2024-03-05 08:28:40.202408,13075,40.629227,-112.04045,0.0,,,,51.0,37.0,844.98,4987.0,
48,2024-03-05 08:28:40.202408,13227,40.703102,-112.02363,3.5,6.9,6.0,213.1,45.0,39.0,870.45,4259.0,
49,2024-03-05 08:28:40.202408,13235,40.67518,-111.97574,4.3,7.5,6.4,205.7,52.0,40.0,864.6,4368.0,
