time,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,weather_code,temperature_2m_max,temperature_2m_min,rain_sum,snowfall_sum,precipitation_hours,latitiude,longitude,elevation
2020-01-01,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
2020-01-02,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
2020-01-03,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
2020-01-04,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
2020-01-05,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
2020-01-06,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
2020-01-07,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
2020-01-08,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
2020-01-09,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
2020-01-10,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
2020-01-11,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
2020-01-12,864,864,864,864,864,864,864,864,864,864,864,864
2020-01-13,864,864,864,864,864,864,864,864,864,864,864,864
2020-01-14,864,864,864,864,864,864,864,864,864,864,864,864
2020-01-15,864,864,864,864,864,864,864,864,864,864,864,864
2020-01-16,864,864,864,864,864,864,864,864,864,864,864,864
2020-01-17,864,864,864,864,864,864,864,864,864,864,864,864
2020-01-18,864,864,864,864,864,864,864,864,864,864,864,864
2020-01-19,864,864,864,864,864,864,864,864,864,864,864,864
2020-01-20,864,864,864,864,864,864,864,864,864,864,864,864
2020-01-21,864,864,864,864,864,864,864,864,864,864,864,864
2020-01-22,864,864,864,864,864,864,864,864,864,864,864,864
2020-01-23,864,864,864,864,864,864,864,864,864,864,864,864
2020-01-24,864,864,864,864,864,864,864,864,864,864,864,864
2020-01-25,864,864,864,864,864,864,864,864,864,864,864,864
