,OBJECTID,GEOID,county,Tract,Low,Lowmod,Lowmod_pct,category,geometry,longitude,latitude,County_encoded,category_encoded
0,199060,490111251021,Davis County,125102,120,340,0.1833,blue,POINT (-111.88080951152304 41.08032456289652),-111.88080951152304,41.08032456289652,0,0
1,199061,490111251022,Davis County,125102,245,490,0.1892,blue,POINT (-111.88003663259194 41.04248386241919),-111.88003663259194,41.04248386241919,0,0
2,199062,490111251031,Davis County,125103,370,850,0.3131,green,POINT (-111.9563088264819 41.13919426676789),-111.9563088264819,41.13919426676789,0,1
3,199063,490111251032,Davis County,125103,430,1000,0.4264,green,POINT (-111.94339340147886 41.11547671683034),-111.94339340147886,41.11547671683034,0,1
4,199064,490111251041,Davis County,125104,165,475,0.1967,blue,POINT (-111.91575298025643 41.12877405887183),-111.91575298025643,41.12877405887183,0,0
5,199065,490111251042,Davis County,125104,35,165,0.1061,blue,POINT (-111.88051464052988 41.12199390200524),-111.88051464052988,41.12199390200524,0,0
6,199066,490111251043,Davis County,125104,405,770,0.3291,green,POINT (-111.91835040288866 41.11064543370878),-111.91835040288866,41.11064543370878,0,1
7,199067,490111252001,Davis County,125200,440,930,0.6838,orange,POINT (-111.99924129032551 41.10697200673492),-111.99924129032551,41.10697200673492,0,2
8,199068,490111252002,Davis County,125200,325,1130,0.6726,orange,POINT (-111.98988703109396 41.12688800001554),-111.98988703109396,41.12688800001554,0,2
9,199069,490111253011,Davis County,125301,560,1010,0.7537,red,POINT (-112.03003258025889 41.14996275953368),-112.03003258025889,41.14996275953368,0,3
10,199070,490111253012,Davis County,125301,440,845,0.5452,orange,POINT (-112.02967779151444 41.14339925293028),-112.02967779151444,41.14339925293028,0,2
11,199071,490111253013,Davis County,125301,370,595,0.6398,orange,POINT (-112.03005197373186 41.13616547873),-112.03005197373186,41.13616547873,0,2
12,199072,490111253014,Davis County,125301,225,665,0.5038,orange,POINT (-112.02976233744846 41.128941780932685),-112.02976233744846,41.128941780932685,0,2
13,199073,490111253031,Davis County,125303,30,695,0.2235,blue,POINT (-112.10292468090837 41.13923589738259),-112.10292468090837,41.13923589738259,0,0
14,199074,490111253032,Davis County,125303,200,670,0.1843,blue,POINT (-112.07371760768277 41.146000686283834),-112.07371760768277,41.146000686283834,0,0
15,199075,490111253033,Davis County,125303,140,1035,0.2678,green,POINT (-112.07413880321505 41.132613201630434),-112.07413880321505,41.132613201630434,0,1
16,199076,490111253041,Davis County,125304,205,775,0.4769,green,POINT (-112.04046382260863 41.143558048462054),-112.04046382260863,41.143558048462054,0,1
17,199077,490111253042,Davis County,125304,340,765,0.2767,green,POINT (-112.0548855823053 41.146183166182),-112.0548855823053,41.146183166182,0,1
18,199078,490111253043,Davis County,125304,25,525,0.5198,orange,POINT (-112.04116113209479 41.149836364760986),-112.04116113209479,41.149836364760986,0,2
19,199079,490111253051,Davis County,125305,265,600,0.2326,blue,POINT (-112.05485923972412 41.132614217050346),-112.05485923972412,41.132614217050346,0,0
20,199080,490111253052,Davis County,125305,380,685,0.4041,green,POINT (-112.04051553054215 41.13623823861052),-112.04051553054215,41.13623823861052,0,1
21,199081,490111253053,Davis County,125305,235,625,0.2546,green,POINT (-112.04042044705442 41.12896098128972),-112.04042044705442,41.12896098128972,0,1
22,199082,490111254011,Davis County,125401,180,785,0.2979,green,POINT (-112.07901643645114 41.10618098331292),-112.07901643645114,41.10618098331292,0,1
23,199083,490111254012,Davis County,125401,625,835,0.1285,blue,POINT (-112.22621685598469 41.112715027338645),-112.22621685598469,41.112715027338645,0,0
24,199084,490111254013,Davis County,125401,400,675,0.2377,blue,POINT (-112.08378300708625 41.12172841759189),-112.08378300708625,41.12172841759189,0,0
25,199085,490111254031,Davis County,125403,265,965,0.2615,green,POINT (-112.05921966641998 41.084516863876026),-112.05921966641998,41.084516863876026,0,1
26,199086,490111254032,Davis County,125403,410,1165,0.2741,green,POINT (-112.05659777307659 41.074875056091585),-112.05659777307659,41.074875056091585,0,1
27,199087,490111254033,Davis County,125403,615,1425,0.3108,green,POINT (-112.22428192668133 40.96990494390837),-112.22428192668133,40.96990494390837,0,1
28,199088,490111254051,Davis County,125405,500,1615,0.3019,green,POINT (-112.0135828629093 41.08173189099474),-112.0135828629093,41.08173189099474,0,1
29,199089,490111254052,Davis County,125405,1130,2060,0.4265,green,POINT (-112.01818435815343 41.071011125594346),-112.01818435815343,41.071011125594346,0,1
30,199090,490111254061,Davis County,125406,330,1105,0.4712,green,POINT (-112.0309575927703 41.08194384048899),-112.0309575927703,41.08194384048899,0,1
31,199091,490111254062,Davis County,125406,325,430,0.0837,blue,POINT (-112.03730646337168 41.0724741565598),-112.03730646337168,41.0724741565598,0,0
32,199092,490111255011,Davis County,125501,755,1440,0.4737,green,POINT (-112.05490570746161 41.12171595943976),-112.05490570746161,41.12171595943976,0,1
33,199093,490111255012,Davis County,125501,225,605,0.4654,green,POINT (-112.05651586729172 41.10966062106072),-112.05651586729172,41.10966062106072,0,1
34,199094,490111255013,Davis County,125501,150,345,0.2255,blue,POINT (-112.05008272618893 41.11449833572019),-112.05008272618893,41.11449833572019,0,0
35,199095,490111255021,Davis County,125502,970,1505,0.7984,red,POINT (-112.02956251986389 41.12024359169663),-112.02956251986389,41.12024359169663,0,3
36,199096,490111255022,Davis County,125502,350,1015,0.481,green,POINT (-112.03659865828863 41.11206116299464),-112.03659865828863,41.11206116299464,0,1
37,199097,490111255023,Davis County,125502,60,480,0.3254,green,POINT (-112.03965563816425 41.121520549969105),-112.03965563816425,41.121520549969105,0,1
38,199098,490111255031,Davis County,125503,200,745,0.3386,green,POINT (-112.05465629274693 41.092608178591085),-112.05465629274693,41.092608178591085,0,1
39,199099,490111255032,Davis County,125503,455,1040,0.3649,green,POINT (-112.05522928891953 41.09980202064598),-112.05522928891953,41.09980202064598,0,1
40,199100,490111256001,Davis County,125600,95,150,0.9091,red,POINT (-112.03260740704619 41.09715906024685),-112.03260740704619,41.09715906024685,0,3
41,199101,490111257011,Davis County,125701,1275,2160,0.8471,red,POINT (-112.01642847979556 41.09924861492656),-112.01642847979556,41.09924861492656,0,3
42,199102,490111257012,Davis County,125701,355,485,0.3959,green,POINT (-112.0049769477435 41.09847100565179),-112.0049769477435,41.09847100565179,0,1
43,199103,490111257021,Davis County,125702,200,480,0.568,orange,POINT (-112.00936647176036 41.106085772401606),-112.00936647176036,41.106085772401606,0,2
44,199104,490111257022,Davis County,125702,445,830,0.5666,orange,POINT (-112.02064286546334 41.117789078160726),-112.02064286546334,41.117789078160726,0,2
45,199105,490111257023,Davis County,125702,400,755,0.5355,orange,POINT (-112.01692066677286 41.11037830563785),-112.01692066677286,41.11037830563785,0,2
