,time,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,latitiude,longitude
0,2021-01-01,12.5,23.9,235,40.667835,111.92634
1,2021-01-02,7.8,15.0,45,40.667835,111.92634
2,2021-01-03,7.0,15.9,302,40.667835,111.92634
3,2021-01-04,16.3,30.0,252,40.667835,111.92634
4,2021-01-05,18.2,34.0,302,40.667835,111.92634
5,2021-01-06,15.7,32.0,273,40.667835,111.92634
6,2021-01-07,14.3,26.6,270,40.667835,111.92634
7,2021-01-08,9.8,18.6,259,40.667835,111.92634
8,2021-01-09,10.0,19.0,249,40.667835,111.92634
9,2021-01-10,13.7,26.6,230,40.667835,111.92634
10,2021-01-11,16.3,30.0,237,40.667835,111.92634
11,2021-01-01,19.2,41.4,292,41.23023,111.91977
12,2021-01-02,15.3,34.2,283,41.23023,111.91977
13,2021-01-03,15.3,34.2,308,41.23023,111.91977
14,2021-01-04,21.0,44.7,292,41.23023,111.91977
15,2021-01-05,25.4,52.1,312,41.23023,111.91977
16,2021-01-06,23.9,52.6,310,41.23023,111.91977
17,2021-01-07,24.1,50.3,311,41.23023,111.91977
18,2021-01-08,23.6,50.3,315,41.23023,111.91977
19,2021-01-09,21.1,46.8,313,41.23023,111.91977
20,2021-01-10,17.3,36.0,284,41.23023,111.91977
21,2021-01-11,17.2,38.3,263,41.23023,111.91977
22,2021-01-01,9.4,20.4,315,40.94903,111.92308
23,2021-01-02,10.4,21.7,344,40.94903,111.92308
24,2021-01-03,10.4,22.6,355,40.94903,111.92308
25,2021-01-04,12.4,25.7,308,40.94903,111.92308
26,2021-01-05,16.5,34.9,309,40.94903,111.92308
27,2021-01-06,16.9,34.2,274,40.94903,111.92308
28,2021-01-07,17.0,34.7,279,40.94903,111.92308
29,2021-01-08,16.0,32.9,256,40.94903,111.92308
30,2021-01-09,9.2,20.4,255,40.94903,111.92308
31,2021-01-10,11.3,23.9,235,40.94903,111.92308
32,2021-01-11,12.1,25.3,205,40.94903,111.92308
33,2021-01-12,17.5,32.2,234,40.667835,111.92634
34,2021-01-13,14.3,27.1,235,40.667835,111.92634
35,2021-01-14,11.3,20.6,288,40.667835,111.92634
36,2021-01-15,10.3,20.6,334,40.667835,111.92634
37,2021-01-16,15.9,29.8,261,40.667835,111.92634
38,2021-01-17,15.8,30.0,242,40.667835,111.92634
39,2021-01-18,6.7,15.4,152,40.667835,111.92634
40,2021-01-19,8.6,15.9,220,40.667835,111.92634
41,2021-01-20,6.9,15.9,213,40.667835,111.92634
42,2021-01-21,6.7,15.0,177,40.667835,111.92634
43,2021-01-22,6.6,12.8,128,40.667835,111.92634
44,2021-01-12,16.2,37.1,270,41.23023,111.91977
45,2021-01-13,14.4,36.7,223,41.23023,111.91977
46,2021-01-14,17.5,38.5,310,41.23023,111.91977
47,2021-01-15,20.5,43.0,319,41.23023,111.91977
48,2021-01-16,22.4,47.0,286,41.23023,111.91977
49,2021-01-17,20.6,45.4,292,41.23023,111.91977
50,2021-01-18,16.6,36.2,199,41.23023,111.91977
51,2021-01-19,16.2,36.2,228,41.23023,111.91977
52,2021-01-20,10.9,24.8,245,41.23023,111.91977
53,2021-01-21,12.4,27.3,258,41.23023,111.91977
54,2021-01-22,10.7,23.7,189,41.23023,111.91977
55,2021-01-12,11.7,23.9,278,40.94903,111.92308
56,2021-01-13,8.7,19.0,117,40.94903,111.92308
57,2021-01-14,9.6,21.7,338,40.94903,111.92308
58,2021-01-15,11.7,24.8,346,40.94903,111.92308
59,2021-01-16,13.8,28.4,254,40.94903,111.92308
60,2021-01-17,12.0,25.1,219,40.94903,111.92308
61,2021-01-18,6.6,15.9,30,40.94903,111.92308
62,2021-01-19,7.2,17.4,81,40.94903,111.92308
63,2021-01-20,5.6,14.5,39,40.94903,111.92308
64,2021-01-21,6.1,15.0,34,40.94903,111.92308
65,2021-01-22,6.5,14.5,33,40.94903,111.92308
66,2021-01-23,7.1,12.8,117,40.667835,111.92634
67,2021-01-24,9.2,16.3,208,40.667835,111.92634
68,2021-01-25,14.0,23.9,233,40.667835,111.92634
69,2021-01-26,13.8,26.2,233,40.667835,111.92634
70,2021-01-27,22.6,40.9,276,40.667835,111.92634
71,2021-01-28,15.7,29.1,238,40.667835,111.92634
72,2021-01-29,14.4,27.3,235,40.667835,111.92634
73,2021-01-30,18.7,34.9,235,40.667835,111.92634
74,2021-01-31,21.2,38.3,287,40.667835,111.92634
75,2021-02-01,15.5,29.1,294,40.667835,111.92634
76,2021-02-02,11.0,22.1,247,40.667835,111.92634
77,2021-01-23,10.0,23.7,209,41.23023,111.91977
78,2021-01-24,14.3,31.3,250,41.23023,111.91977
79,2021-01-25,22.1,47.0,274,41.23023,111.91977
80,2021-01-26,20.7,45.9,258,41.23023,111.91977
81,2021-01-27,21.1,47.9,301,41.23023,111.91977
82,2021-01-28,20.0,43.2,271,41.23023,111.91977
83,2021-01-29,19.6,42.1,276,41.23023,111.91977
84,2021-01-30,19.8,43.0,241,41.23023,111.91977
85,2021-01-31,22.0,46.5,298,41.23023,111.91977
86,2021-02-01,20.2,43.0,294,41.23023,111.91977
87,2021-02-02,20.6,45.4,289,41.23023,111.91977
88,2021-01-23,7.6,14.5,22,40.94903,111.92308
89,2021-01-24,9.0,20.6,8,40.94903,111.92308
90,2021-01-25,10.9,22.6,208,40.94903,111.92308
91,2021-01-26,12.4,25.7,188,40.94903,111.92308
92,2021-01-27,14.5,31.3,289,40.94903,111.92308
93,2021-01-28,13.7,28.4,189,40.94903,111.92308
94,2021-01-29,9.3,20.8,248,40.94903,111.92308
95,2021-01-30,11.2,23.0,193,40.94903,111.92308
96,2021-01-31,16.1,33.3,312,40.94903,111.92308
97,2021-02-01,16.4,33.8,278,40.94903,111.92308
98,2021-02-02,11.0,24.2,279,40.94903,111.92308
99,2021-02-03,11.8,23.3,242,40.667835,111.92634
100,2021-02-04,16.6,30.4,237,40.667835,111.92634
101,2021-02-05,18.0,34.4,239,40.667835,111.92634
102,2021-02-06,12.1,22.8,357,40.667835,111.92634
103,2021-02-07,7.2,13.6,120,40.667835,111.92634
104,2021-02-08,6.4,15.7,145,40.667835,111.92634
105,2021-02-09,7.7,15.9,206,40.667835,111.92634
106,2021-02-10,12.2,23.9,225,40.667835,111.92634
107,2021-02-11,12.8,24.4,221,40.667835,111.92634
108,2021-02-12,6.7,15.2,216,40.667835,111.92634
109,2021-02-13,13.6,27.1,269,40.667835,111.92634
110,2021-02-03,20.4,44.5,276,41.23023,111.91977
111,2021-02-04,22.8,49.7,263,41.23023,111.91977
112,2021-02-05,22.2,47.9,274,41.23023,111.91977
113,2021-02-06,18.0,38.5,334,41.23023,111.91977
114,2021-02-07,12.7,28.2,295,41.23023,111.91977
115,2021-02-08,10.8,24.4,243,41.23023,111.91977
116,2021-02-09,14.3,31.8,246,41.23023,111.91977
117,2021-02-10,20.4,46.3,203,41.23023,111.91977
118,2021-02-11,17.2,37.4,263,41.23023,111.91977
119,2021-02-12,11.4,26.2,267,41.23023,111.91977
120,2021-02-13,14.5,32.2,295,41.23023,111.91977
121,2021-02-03,10.8,24.2,311,40.94903,111.92308
122,2021-02-04,9.1,20.4,205,40.94903,111.92308
123,2021-02-05,14.4,30.2,280,40.94903,111.92308
124,2021-02-06,12.8,25.3,357,40.94903,111.92308
125,2021-02-07,7.8,17.7,334,40.94903,111.92308
126,2021-02-08,6.1,15.7,22,40.94903,111.92308
127,2021-02-09,6.6,16.1,18,40.94903,111.92308
128,2021-02-10,6.8,17.0,113,40.94903,111.92308
129,2021-02-11,9.8,20.4,264,40.94903,111.92308
130,2021-02-12,5.7,15.2,312,40.94903,111.92308
131,2021-02-13,12.9,27.3,348,40.94903,111.92308
132,2021-02-14,17.8,34.0,285,40.667835,111.92634
133,2021-02-15,17.5,34.0,293,40.667835,111.92634
134,2021-02-16,15.6,28.2,2,40.667835,111.92634
135,2021-02-17,11.0,22.4,220,40.667835,111.92634
136,2021-02-18,13.0,24.6,230,40.667835,111.92634
137,2021-02-19,16.1,30.0,236,40.667835,111.92634
138,2021-02-20,18.6,33.8,234,40.667835,111.92634
139,2021-02-21,11.6,19.9,11,40.667835,111.92634
140,2021-02-22,6.1,12.5,93,40.667835,111.92634
141,2021-02-23,5.0,12.1,166,40.667835,111.92634
142,2021-02-24,6.2,13.9,68,40.667835,111.92634
143,2021-02-14,22.0,47.6,301,41.23023,111.91977
144,2021-02-15,24.4,51.2,317,41.23023,111.91977
145,2021-02-16,22.6,49.9,320,41.23023,111.91977
146,2021-02-17,19.0,40.5,279,41.23023,111.91977
147,2021-02-18,20.2,43.6,276,41.23023,111.91977
148,2021-02-19,18.1,39.6,262,41.23023,111.91977
149,2021-02-20,17.2,40.3,277,41.23023,111.91977
150,2021-02-21,17.1,37.6,329,41.23023,111.91977
151,2021-02-22,7.8,21.3,271,41.23023,111.91977
152,2021-02-23,7.8,18.1,239,41.23023,111.91977
153,2021-02-24,8.1,19.7,354,41.23023,111.91977
154,2021-02-14,13.6,28.6,288,40.94903,111.92308
155,2021-02-15,13.9,29.8,309,40.94903,111.92308
156,2021-02-16,14.9,31.3,302,40.94903,111.92308
