,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,units_of_measure_code,sample_duration,sample_duration_code,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method,method_code,state,county,date_of_last_change,cbsa_code
0,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-30,00:00,2023-01-30,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-07-12,36260
1,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-31,00:00,2023-01-31,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-07-12,36260
2,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-02,00:00,2023-02-02,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-03-14,36260
3,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-02-03,00:00,2023-02-03,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-07-07,36260
4,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-04-25,00:00,2023-04-25,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-05-11,36260
5,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-05-23,00:00,2023-05-23,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-06-21,36260
6,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-05-26,00:00,2023-05-26,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-06-21,36260
7,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-06-03,00:00,2023-06-03,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-07-11,36260
8,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-06-04,00:00,2023-06-04,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-08-10,36260
9,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-06-05,00:00,2023-06-05,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-08-10,36260
10,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-06-06,00:00,2023-06-06,07:00,,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-07-11,36260
