,indoor_sensor_index,outdoor_sensor_index,indoor_sensor_index,indoor_pm2.5,indoor_pm1.0,indoor_pm10.0,indoor_scattering_coefficient,indoor_deciviews,indoor_visual_range,indoor_pressure,indoor_temperature,indoor_altitude,indoor_humidity,outdoor_sensor_index,outdoor_pm2.5,outdoor_pm1.0,outdoor_pm10.0,outdoor_scattering_coefficient,outdoor_deciviews,outdoor_visual_range,outdoor_pressure,outdoor_temperature,outdoor_altitude,outdoor_humidity
0,820.0,22647.0,820.0,0.6,0.2,0.7,3.2,3.3,281.7,851.69,60.0,5131.0,36.0,22647.0,17.2,11.3,19.3,32.8,16.0,79.1,850.56,65.0,5149.0,32.0
1,9654.0,86975.0,9654.0,0.0,0.0,0.0,1.4,1.6,333.8,855.76,77.0,4942.0,18.0,86975.0,32.2,19.9,37.3,55.8,20.4,50.7,857.56,53.0,4927.0,42.0
2,10936.0,35407.0,10936.0,0.9,0.2,6.4,4.2,4.1,259.0,857.23,78.0,4926.0,19.0,35407.0,17.1,10.6,19.1,35.8,16.6,75.0,855.81,82.0,4929.0,15.0
3,12280.0,148311.0,12280.0,0.0,0.0,0.0,0.6,0.7,364.8,800.7,67.0,6764.0,17.0,148311.0,5.9,4.1,6.8,16.8,10.9,131.7,795.84,47.0,6971.0,43.0
4,14713.0,105030.0,14713.0,3.8,2.2,4.2,9.7,7.7,180.5,844.05,83.0,5305.0,18.0,105030.0,35.1,23.0,40.7,70.2,22.4,41.4,,,5313.0,
5,14799.0,35407.0,14799.0,2.3,0.3,18.3,3.3,3.4,278.7,858.36,90.0,4834.0,21.0,35407.0,17.1,10.6,19.1,35.8,16.6,75.0,855.81,82.0,4929.0,15.0
6,14817.0,6356.0,14817.0,0.0,0.0,0.1,0.7,0.8,360.2,875.83,76.0,4341.0,31.0,6356.0,26.8,17.3,30.2,42.3,18.0,64.4,869.42,55.0,4520.0,87.0
7,14929.0,5174.0,14929.0,0.2,0.0,0.2,2.0,2.2,313.5,856.53,81.0,4929.0,23.0,5174.0,8.5,6.3,8.9,19.2,11.9,118.2,847.67,54.0,5188.0,39.0
8,15328.0,129335.0,15328.0,6.9,0.8,15.1,5.8,5.3,229.6,866.28,79.0,4657.0,35.0,129335.0,26.7,18.0,30.2,,,,,,4891.0,
9,16251.0,109530.0,16251.0,1.5,0.9,5.9,5.0,4.7,244.4,856.13,77.0,4917.0,23.0,109530.0,33.0,19.2,39.4,48.0,19.1,58.3,856.48,55.0,4987.0,42.0
10,16263.0,16413.0,16263.0,0.5,0.0,1.4,1.9,2.0,318.8,806.93,85.0,6543.0,15.0,16413.0,3.8,2.5,4.2,8.2,6.8,196.7,807.04,52.0,6541.0,40.0
11,17213.0,6288.0,17213.0,1.9,0.2,19.8,5.1,4.8,241.1,878.41,86.0,4239.0,18.0,6288.0,20.4,13.8,24.3,42.2,17.0,79.5,,,4258.0,
12,18977.0,129169.0,18977.0,0.6,0.2,0.8,2.6,2.6,299.9,866.0,80.0,4598.0,30.0,129169.0,22.5,12.9,25.8,,,,868.93,55.0,4561.0,37.0
13,19209.0,5460.0,19209.0,3.0,1.7,3.4,8.2,6.8,197.9,872.37,99.0,4449.0,8.0,5460.0,30.4,20.7,35.2,59.6,21.0,48.0,875.85,64.0,4351.0,29.0
14,21883.0,129337.0,21883.0,0.9,0.5,1.0,4.1,4.0,261.5,875.48,73.0,4310.0,31.0,129337.0,32.2,21.1,38.7,,,,877.22,54.0,4325.0,41.0
15,22189.0,5372.0,22189.0,0.8,0.2,1.8,3.3,3.3,279.7,874.99,81.0,4347.0,24.0,5372.0,27.8,20.3,35.1,56.2,20.4,51.0,876.22,65.0,4327.0,32.0
16,23505.0,42529.0,23505.0,2.6,1.1,2.6,5.2,4.9,239.8,876.44,83.0,4293.0,19.0,42529.0,36.0,22.3,46.1,72.3,22.7,40.3,876.1,53.0,4333.0,75.0
17,23563.0,204001.0,23563.0,0.0,0.0,0.1,0.4,0.5,371.9,858.05,86.0,4869.0,13.0,204001.0,16.6,10.5,18.5,24.4,13.7,99.2,859.85,54.0,4872.0,42.0
18,23653.0,122091.0,23653.0,0.0,0.0,0.0,0.8,0.9,356.6,869.17,82.0,4524.0,26.0,122091.0,23.4,12.6,25.9,,,,868.53,56.0,4574.0,41.0
19,24125.0,43339.0,24125.0,1.6,0.7,1.9,4.5,4.3,253.5,870.08,78.0,4486.0,32.0,43339.0,9.0,5.1,11.1,17.9,11.5,124.2,849.94,61.0,5122.0,34.0
20,24283.0,44157.0,24283.0,0.0,0.0,0.0,1.8,2.0,321.0,872.59,84.0,4380.0,17.0,44157.0,23.6,17.0,26.2,93.7,24.4,35.9,633.88,74.0,4533.0,83.0
21,25077.0,5460.0,25077.0,4.1,2.9,4.2,9.9,7.8,178.2,876.83,78.0,4330.0,23.0,5460.0,30.4,20.7,35.2,59.6,21.0,48.0,875.85,64.0,4351.0,29.0
22,29391.0,97391.0,29391.0,0.0,0.0,0.2,1.8,1.9,322.2,879.4,78.0,4231.0,23.0,97391.0,37.4,24.4,48.5,96.9,25.2,31.9,859.89,33.0,4254.0,37.0
23,34717.0,195609.0,34717.0,0.0,0.0,0.0,1.1,1.2,344.4,869.58,68.0,4555.0,35.0,195609.0,53.8,32.0,65.7,73.1,22.8,40.1,874.21,44.0,4583.0,57.0
